"Unemployment Rates for Metropolitan Areas, 2020-2024 Annual Averages",,,,,,,
State FIPS code,LAUS area code,Metropolitan area title,2020,2021,2022,2023,2024
48,MT4813140000000,"Beaumont-Port Arthur, TX",10.7,8.8,5.7,5.5,5.4
48,MT4815180000000,"Brownsville-Harlingen, TX",9.9,7.8,5.6,5.3,5.2
48,MT4817780000000,"College Station-Bryan, TX",5.7,4.4,3.4,3.4,3.4
48,MT4818580000000,"Corpus Christi, TX",9.2,7.1,4.9,4.3,4.4
48,MT4819100000000,"Dallas-Fort Worth-Arlington, TX",7.1,5.1,3.6,3.8,3.9
48,MT4820580000000,"Eagle Pass, TX",15.3,12.4,8.0,7.5,7.9
48,MT4821340000000,"El Paso, TX",8.0,6.0,4.2,4.3,4.2
48,MT4826420000000,"Houston-Pasadena-The Woodlands, TX",8.5,6.2,4.2,4.2,4.4
48,MT4828660000000,"Killeen-Temple, TX",6.6,5.5,4.3,4.3,4.4
48,MT4829700000000,"Laredo, TX",8.8,6.4,4.2,4.1,4.2
48,MT4830980000000,"Longview, TX",8.0,6.3,4.3,4.4,4.7
48,MT4831180000000,"Lubbock, TX",6.1,4.8,3.5,3.4,3.5
48,MT4832580000000,"McAllen-Edinburg-Mission, TX",11.5,8.9,6.5,6.1,6.0
48,MT4833260000000,"Midland, TX",9.2,6.3,3.3,2.8,2.9
48,MT4836220000000,"Odessa, TX",11.5,8.2,4.0,3.4,3.5
48,MT4841660000000,"San Angelo, TX",6.1,4.6,3.2,3.2,3.2
48,MT4841700000000,"San Antonio-New Braunfels, TX",7.3,5.2,3.7,3.7,3.8
48,MT4843300000000,"Sherman-Denison, TX",5.9,4.6,3.7,3.8,3.9
48,MT4845500000000,"Texarkana, TX-AR",7.5,5.7,4.4,4.0,4.2
48,MT4846340000000,"Tyler, TX",6.8,5.2,3.8,3.7,3.8
48,MT4847020000000,"Victoria, TX",8.2,6.2,4.2,4.0,4.1
48,MT4847380000000,"Waco, TX",6.2,5.0,3.7,3.8,3.8
48,MT4848660000000,"Wichita Falls, TX",6.4,5.1,3.8,3.7,3.8
49,MT4930860000000,"Logan, UT-ID",3.1,2.1,2.1,2.4,2.8
49,MT4936260000000,"Ogden, UT",4.4,2.6,2.3,2.5,3.0
49,MT4939340000000,"Provo-Orem-Lehi, UT",3.9,2.4,2.2,2.7,3.3
49,MT4941100000000,"St. George, UT",5.5,3.0,2.7,2.9,3.3
49,MT4941620000000,"Salt Lake City-Murray, UT",5.3,2.9,2.4,2.7,3.2
50,MT5015540000000,"Burlington-South Burlington, VT",4.9,3.2,2.0,1.6,2.0
51,MT5113980000000,"Blacksburg-Christiansburg-Radford, VA",6.0,3.4,2.8,2.8,3.1
51,MT5116820000000,"Charlottesville, VA",5.9,3.3,2.5,2.5,2.5
51,MT5125500000000,"Harrisonburg, VA",5.3,3.2,2.6,2.6,2.8
51,MT5131340000000,"Lynchburg, VA",6.0,3.8,2.9,3.1,3.2
51,MT5140060000000,"Richmond, VA",6.8,4.0,2.8,2.8,3.0
51,MT5140220000000,"Roanoke, VA",6.3,3.8,2.7,2.7,2.9
51,MT5144420000000,"Staunton-Stuarts Draft, VA",5.3,3.3,2.5,2.4,2.6
51,MT5147260000000,"Virginia Beach-Chesapeake-Norfolk, VA-NC",7.4,4.5,3.0,2.9,3.1
51,MT5149020000000,"Winchester, VA-WV",5.4,3.2,2.5,2.6,2.7
53,MT5313380000000,"Bellingham, WA",9.0,5.4,4.1,4.0,4.5
53,MT5314740000000,"Bremerton-Silverdale-Port Orchard, WA",7.8,4.9,4.0,4.1,4.5
53,MT5328420000000,"Kennewick-Richland, WA",8.3,5.7,4.7,4.8,5.0
53,MT5331020000000,"Longview-Kelso, WA",9.1,6.0,4.9,4.8,5.3
53,MT5334580000000,"Mount Vernon-Anacortes, WA",9.8,6.1,4.7,4.5,5.0
53,MT5336500000000,"Olympia-Lacey-Tumwater, WA",8.3,5.1,4.2,4.1,4.6
53,MT5342660000000,"Seattle-Tacoma-Bellevue, WA",8.8,5.0,3.8,4.0,4.2
53,MT5344060000000,"Spokane-Spokane Valley, WA",8.5,5.1,4.2,4.2,4.6
53,MT5347460000000,"Walla Walla, WA",6.7,4.6,4.0,3.9,4.2
53,MT5348300000000,"Wenatchee-East Wenatchee, WA",8.5,5.4,4.5,4.5,4.8
53,MT5349420000000,"Yakima, WA",9.5,6.6,5.6,5.6,6.1
54,MT5413220000000,"Beckley, WV",9.2,5.6,4.0,3.9,4.0
54,MT5416620000000,"Charleston, WV",9.1,5.5,3.9,3.7,4.0
54,MT5426580000000,"Huntington-Ashland, WV-KY-OH",8.1,5.2,4.4,4.5,5.0
54,MT5434060000000,"Morgantown, WV",6.6,4.3,3.6,3.3,3.4
54,MT5437620000000,"Parkersburg-Vienna, WV",8.7,5.4,4.1,4.1,4.3
54,MT5448540000000,"Wheeling, WV-OH",9.6,6.1,4.8,4.4,4.8
55,MT5511540000000,"Appleton, WI",5.4,3.0,2.4,2.3,2.5
55,MT5520740000000,"Eau Claire, WI",6.0,3.5,2.8,2.8,2.9
55,MT5522540000000,"Fond du Lac, WI",6.0,3.3,2.5,2.5,2.9
55,MT5524580000000,"Green Bay, WI",6.0,3.4,2.6,2.5,2.7
55,MT5527500000000,"Janesville-Beloit, WI",7.4,4.6,3.4,3.2,3.2
55,MT5528450000000,"Kenosha, WI",7.2,4.2,3.1,3.1,3.2
55,MT5529100000000,"La Crosse-Onalaska, WI-MN",5.6,3.2,2.5,2.5,2.7
55,MT5531540000000,"Madison, WI",5.1,2.9,2.2,2.2,2.4
55,MT5533340000000,"Milwaukee-Waukesha, WI",7.3,4.4,3.0,3.0,3.2
55,MT5536780000000,"Oshkosh-Neenah, WI",5.6,3.2,2.5,2.5,2.7
55,MT5539540000000,"Racine-Mount Pleasant, WI",7.3,4.6,3.4,3.2,3.5
55,MT5543100000000,"Sheboygan, WI",5.8,3.1,2.4,2.3,2.5
55,MT5548140000000,"Wausau, WI",5.0,3.0,2.4,2.5,2.6
56,MT5616220000000,"Casper, WY",7.5,5.7,3.7,3.0,3.3
56,MT5616940000000,"Cheyenne, WY",5.2,4.1,3.5,3.0,3.4
,,,,,,,
1 Area boundaries do not reflect official OMB definitions.,,,,,,,
"SOURCE:  BLS, LAUS",,,,,,,
"April 18, 2025",,,,,,,
End of table.,,,,,,,
